"site","sanitation.fellingA","sanitation.fellingB","nhost","ncut1","ncut2","nadj","nnlp","ndam"
"site D",50,100,48,49,45,0,48,45
"site D",50,100,51,52,46,0,51,46
"site D",50,100,48,49,41,0,48,41
"site D",50,100,48,50,42,0,48,42
"site D",50,100,49,51,51,0,49,51
"site D",50,100,50,50,44,0,50,44
"site D",50,100,52,53,46,0,52,46
"site D",50,100,52,52,45,0,52,45
"site D",50,100,50,52,51,0,50,51
"site D",50,100,51,53,44,0,51,44
"site D",50,100,50,51,42,0,50,42
"site D",50,100,50,52,39,0,50,39
"site D",50,100,48,49,49,0,48,49
"site D",50,100,50,52,43,0,50,43
"site D",50,100,50,51,43,0,50,43
"site D",50,100,51,51,49,0,51,49
"site D",50,100,51,53,40,0,51,40
"site D",50,100,49,49,39,0,49,39
"site D",50,100,53,53,48,0,53,48
"site D",50,100,47,49,43,0,47,43
"site D",50,100,50,50,43,0,50,43
"site D",50,100,49,50,46,0,49,46
"site D",50,100,54,54,50,0,54,50
"site D",50,100,49,51,46,0,49,46
"site D",50,100,51,51,49,0,51,49
"site D",50,100,51,52,43,0,51,43
"site D",50,100,50,51,45,0,50,45
"site D",50,100,46,47,46,0,46,46
"site D",50,100,50,51,52,0,50,52
"site D",50,100,50,52,45,0,50,45
"site D",75,0,82,65,0,61,21,61
"site D",75,0,79,64,0,59,20,59
"site D",75,0,80,61,0,60,20,60
"site D",75,0,84,66,0,62,22,62
"site D",75,0,84,67,0,62,22,62
"site D",75,0,86,67,0,65,21,65
"site D",75,0,83,66,0,62,21,62
"site D",75,0,85,61,0,64,21,64
"site D",75,0,82,67,0,59,23,59
"site D",75,0,84,66,0,62,22,62
"site D",75,0,84,64,0,63,21,63
"site D",75,0,86,68,0,63,23,63
"site D",75,0,82,68,0,59,23,59
"site D",75,0,83,70,0,60,23,60
"site D",75,0,81,64,0,60,21,60
"site D",75,0,85,67,0,63,22,63
"site D",75,0,85,67,0,63,22,63
"site D",75,0,84,67,0,62,22,62
"site D",75,0,83,66,0,61,22,61
"site D",75,0,76,64,0,55,21,55
"site D",75,0,82,64,0,60,22,60
"site D",75,0,85,69,0,63,22,63
"site D",75,0,86,67,0,64,22,64
"site D",75,0,80,66,0,58,22,58
"site D",75,0,85,69,0,62,23,62
"site D",75,0,85,62,0,64,21,64
"site D",75,0,84,68,0,62,22,62
"site D",75,0,87,66,0,65,22,65
"site D",75,0,83,64,0,63,20,63
"site D",75,0,84,69,0,61,23,61
"site D",75,0,84,66,0,62,22,62
"site D",75,0,82,65,0,61,21,61
"site D",75,0,86,66,0,64,22,64
"site D",75,0,82,61,0,63,19,63
"site D",75,0,82,66,0,60,22,60
"site D",75,0,85,66,0,64,21,64
"site D",75,0,79,61,0,58,21,58
"site D",75,0,83,67,0,61,22,61
"site D",75,0,88,62,0,67,21,67
"site D",75,0,81,67,0,59,22,59
"site D",75,25,58,62,12,38,20,50
"site D",75,25,59,64,14,39,20,53
"site D",75,25,63,64,14,41,22,55
"site D",75,25,58,60,14,38,20,52
"site D",75,25,62,67,14,39,23,53
"site D",75,25,61,61,13,41,20,54
"site D",75,25,59,64,13,38,21,51
"site D",75,25,59,60,13,40,19,53
"site D",75,25,59,60,14,39,20,53
"site D",75,25,60,64,13,38,22,51
"site D",75,25,65,71,15,42,23,57
"site D",75,25,60,62,14,40,20,54
"site D",75,25,61,62,14,41,20,55
"site D",75,25,59,65,13,38,21,51
"site D",75,25,59,62,13,39,20,52
"site D",75,25,59,66,13,37,22,50
"site D",75,25,57,63,13,37,20,50
"site D",75,25,60,63,14,39,21,53
"site D",75,25,61,65,14,39,22,53
"site D",75,25,57,65,13,36,21,49
"site D",75,25,58,62,14,38,20,52
"site D",75,25,58,61,13,38,20,51
"site D",75,25,62,67,14,40,22,54
"site D",75,25,57,57,13,38,19,51
"site D",75,25,65,66,14,43,22,57
"site D",75,25,60,64,14,39,21,53
"site D",75,25,63,66,14,41,22,55
"site D",75,25,56,61,13,36,20,49
"site D",75,25,56,63,13,36,20,49
"site D",75,25,59,65,14,38,21,52
"site D",75,25,59,63,14,39,20,53
"site D",75,25,63,64,14,41,22,55
"site D",75,25,59,63,14,38,21,52
"site D",75,25,59,64,14,39,20,53
"site D",75,25,64,63,15,43,21,58
"site D",75,25,63,67,14,41,22,55
"site D",75,25,63,65,14,42,21,56
"site D",75,25,60,66,13,38,22,51
"site D",75,25,61,66,14,40,21,54
"site D",75,25,58,60,14,39,19,53
"site D",75,50,42,63,23,22,20,45
"site D",75,50,41,63,23,21,20,44
"site D",75,50,43,63,22,22,21,44
"site D",75,50,44,62,25,24,20,49
"site D",75,50,39,62,19,19,20,38
"site D",75,50,40,59,22,21,19,43
"site D",75,50,40,61,22,20,20,42
"site D",75,50,43,61,24,23,20,47
"site D",75,50,41,61,21,21,20,42
"site D",75,50,41,63,22,21,20,43
"site D",75,50,40,61,22,20,20,42
"site D",75,50,44,65,24,22,22,46
"site D",75,50,41,60,22,21,20,43
"site D",75,50,39,61,21,20,19,41
"site D",75,50,42,61,23,22,20,45
"site D",75,50,40,60,22,21,19,43
"site D",75,50,37,58,19,19,18,38
"site D",75,50,40,59,21,21,19,42
"site D",75,50,44,63,23,23,21,46
"site D",75,50,40,64,21,20,20,41
"site D",75,50,40,62,21,20,20,41
"site D",75,50,40,60,22,20,20,42
"site D",75,50,40,62,21,20,20,41
"site D",75,50,41,64,22,21,20,43
"site D",75,50,42,63,23,21,21,44
"site D",75,50,40,61,21,19,21,40
"site D",75,50,38,64,19,18,20,37
"site D",75,50,46,69,24,23,23,47
"site D",75,50,42,70,21,20,22,41
"site D",75,50,42,62,22,21,21,43
"site D",75,50,41,58,24,22,19,46
"site D",75,50,38,58,19,19,19,38
"site D",75,50,42,60,23,22,20,45
"site D",75,50,42,61,22,22,20,44
"site D",75,50,40,59,22,21,19,43
"site D",75,50,41,62,21,21,20,42
"site D",75,50,43,62,23,22,21,45
"site D",75,50,43,63,24,22,21,46
"site D",75,50,39,59,21,20,19,41
"site D",75,50,41,62,22,20,21,42
"site D",75,75,26,57,25,8,18,33
"site D",75,75,28,59,26,8,20,34
"site D",75,75,25,56,22,7,18,29
"site D",75,75,27,57,25,9,18,34
"site D",75,75,29,59,29,9,20,38
"site D",75,75,29,59,27,9,20,36
"site D",75,75,29,62,27,8,21,35
"site D",75,75,29,60,27,9,20,36
"site D",75,75,29,58,28,10,19,38
"site D",75,75,28,60,25,8,20,33
"site D",75,75,28,61,26,9,19,35
"site D",75,75,28,61,25,8,20,33
"site D",75,75,29,58,28,9,20,37
"site D",75,75,30,59,29,10,20,39
"site D",75,75,27,62,20,6,21,26
"site D",75,75,27,59,25,8,19,33
"site D",75,75,27,60,24,8,19,32
"site D",75,75,26,58,23,7,19,30
"site D",75,75,31,61,28,10,21,38
"site D",75,75,25,59,22,6,19,28
"site D",75,75,25,55,22,7,18,29
"site D",75,75,28,59,27,8,20,35
"site D",75,75,30,62,27,9,21,36
"site D",75,75,24,58,22,6,18,28
"site D",75,75,26,60,24,7,19,31
"site D",75,75,30,59,28,10,20,38
"site D",75,75,27,58,25,8,19,33
"site D",75,75,31,63,30,10,21,40
"site D",75,75,27,58,26,9,18,35
"site D",75,75,28,59,25,9,19,34
"site D",75,75,28,60,25,8,20,33
"site D",75,75,28,58,28,9,19,37
"site D",75,75,27,59,25,7,20,32
"site D",75,75,27,59,25,8,19,33
"site D",75,75,30,62,28,9,21,37
"site D",75,75,30,62,28,10,20,38
"site D",75,75,28,60,26,8,20,34
"site D",75,75,27,57,27,8,19,35
"site D",75,75,30,61,27,9,21,36
"site D",75,75,30,60,28,10,20,38
"site D",75,100,19,56,23,0,19,23
"site D",75,100,20,60,22,0,20,22
"site D",75,100,21,63,23,0,21,23
"site D",75,100,18,56,24,0,18,24
"site D",75,100,18,58,25,0,18,25
"site D",75,100,18,56,24,0,18,24
"site D",75,100,19,58,27,0,19,27
"site D",75,100,19,58,23,0,19,23
"site D",75,100,20,60,23,0,20,23
"site D",75,100,18,57,26,0,18,26
"site D",75,100,20,58,23,0,20,23
"site D",75,100,19,58,24,0,19,24
"site D",75,100,18,56,23,0,18,23
"site D",75,100,18,58,24,0,18,24
"site D",75,100,19,59,23,0,19,23
"site D",75,100,18,55,24,0,18,24
"site D",75,100,18,56,22,0,18,22
"site D",75,100,18,54,21,0,18,21
"site D",75,100,18,58,23,0,18,23
"site D",75,100,20,60,24,0,20,24
"site D",75,100,19,57,23,0,19,23
"site D",75,100,18,58,24,0,18,24
"site D",75,100,19,57,25,0,19,25
"site D",75,100,20,61,28,0,20,28
"site D",75,100,18,55,22,0,18,22
"site D",75,100,18,55,22,0,18,22
"site D",75,100,18,55,25,0,18,25
"site D",75,100,19,58,23,0,19,23
"site D",75,100,18,58,24,0,18,24
"site D",75,100,19,58,24,0,19,24
"site D",75,100,19,59,26,0,19,26
"site D",75,100,18,56,24,0,18,24
"site D",75,100,19,58,23,0,19,23
"site D",75,100,18,54,24,0,18,24
"site D",75,100,17,54,25,0,17,25
"site D",75,100,20,59,25,0,20,25
"site D",75,100,19,57,24,0,19,24
"site D",75,100,18,58,24,0,18,24
"site D",75,100,19,60,24,0,19,24
"site D",75,100,20,59,24,0,20,24
"site D",100,0,49,71,0,49,0,49
"site D",100,0,46,70,0,46,0,46
"site D",100,0,48,72,0,48,0,48
"site D",100,0,50,72,0,50,0,50
"site D",100,0,46,71,0,46,0,46
"site D",100,0,49,73,0,49,0,49
"site D",100,0,52,72,0,52,0,52
"site D",100,0,48,69,0,48,0,48
"site D",100,0,48,71,0,48,0,48
"site D",100,0,49,70,0,49,0,49
"site D",100,0,50,71,0,50,0,50
"site D",100,0,49,71,0,49,0,49
"site D",100,0,51,73,0,51,0,51
"site D",100,0,49,70,0,49,0,49
"site D",100,0,51,70,0,51,0,51
"site D",100,0,48,70,0,48,0,48
"site D",100,0,46,71,0,46,0,46
"site D",100,0,50,73,0,50,0,50
"site D",100,0,46,70,0,46,0,46
"site D",100,0,50,69,0,50,0,50
"site D",100,0,47,72,0,47,0,47
"site D",100,0,49,72,0,49,0,49
"site D",100,0,50,69,0,50,0,50
"site D",100,0,49,71,0,49,0,49
"site D",100,0,51,73,0,51,0,51
"site D",100,0,49,71,0,49,0,49
"site D",100,0,51,70,0,51,0,51
"site D",100,0,46,71,0,46,0,46
"site D",100,0,48,74,0,48,0,48
"site D",100,0,51,71,0,51,0,51
"site D",100,0,50,68,0,50,0,50
"site D",100,0,47,71,0,47,0,47
"site D",100,0,48,73,0,48,0,48
"site D",100,0,47,72,0,47,0,47
"site D",100,0,51,72,0,51,0,51
"site D",100,0,49,70,0,49,0,49
"site D",100,0,48,70,0,48,0,48
"site D",100,0,50,72,0,50,0,50
"site D",100,0,51,70,0,51,0,51
"site D",100,0,49,72,0,49,0,49
"site D",100,25,31,75,10,31,0,41
"site D",100,25,31,70,11,31,0,42
"site D",100,25,27,70,9,27,0,36
"site D",100,25,30,71,11,30,0,41
"site D",100,25,29,71,9,29,0,38
"site D",100,25,26,72,9,26,0,35
"site D",100,25,29,70,10,29,0,39
"site D",100,25,27,69,10,27,0,37
"site D",100,25,30,69,10,30,0,40
"site D",100,25,31,72,11,31,0,42
"site D",100,25,28,70,10,28,0,38
"site D",100,25,29,69,10,29,0,39
"site D",100,25,29,72,10,29,0,39
"site D",100,25,29,71,9,29,0,38
"site D",100,25,29,70,10,29,0,39
"site D",100,25,29,70,10,29,0,39
"site D",100,25,26,71,10,26,0,36
"site D",100,25,26,71,10,26,0,36
"site D",100,25,29,69,10,29,0,39
"site D",100,25,29,71,10,29,0,39
"site D",100,25,26,72,10,26,0,36
"site D",100,25,29,71,11,29,0,40
"site D",100,25,27,70,10,27,0,37
"site D",100,25,28,72,10,28,0,38
"site D",100,25,29,71,11,29,0,40
"site D",100,25,30,71,11,30,0,41
"site D",100,25,29,71,10,29,0,39
"site D",100,25,28,71,9,28,0,37
"site D",100,25,28,69,10,28,0,38
"site D",100,25,29,72,11,29,0,40
"site D",100,25,27,72,10,27,0,37
"site D",100,25,29,74,9,29,0,38
"site D",100,25,26,71,10,26,0,36
"site D",100,25,29,71,10,29,0,39
"site D",100,25,28,70,9,28,0,37
"site D",100,25,30,69,11,30,0,41
"site D",100,25,30,72,11,30,0,41
"site D",100,25,26,69,10,26,0,36
"site D",100,25,29,72,11,29,0,40
"site D",100,25,32,71,10,32,0,42
"site D",100,50,13,72,15,13,0,28
"site D",100,50,14,72,15,14,0,29
"site D",100,50,14,72,16,14,0,30
"site D",100,50,15,71,17,15,0,32
"site D",100,50,16,70,17,16,0,33
"site D",100,50,14,70,15,14,0,29
"site D",100,50,14,71,15,14,0,29
"site D",100,50,16,70,16,16,0,32
"site D",100,50,14,71,15,14,0,29
"site D",100,50,14,71,15,14,0,29
"site D",100,50,15,70,16,15,0,31
"site D",100,50,14,71,14,14,0,28
"site D",100,50,15,72,16,15,0,31
"site D",100,50,14,71,14,14,0,28
"site D",100,50,16,70,17,16,0,33
"site D",100,50,11,71,13,11,0,24
"site D",100,50,14,71,15,14,0,29
"site D",100,50,15,70,15,15,0,30
"site D",100,50,15,70,17,15,0,32
"site D",100,50,15,71,15,15,0,30
"site D",100,50,17,72,18,17,0,35
"site D",100,50,14,71,15,14,0,29
"site D",100,50,15,72,16,15,0,31
"site D",100,50,16,69,17,16,0,33
"site D",100,50,16,70,18,16,0,34
"site D",100,50,13,71,15,13,0,28
"site D",100,50,16,70,17,16,0,33
"site D",100,50,15,70,16,15,0,31
"site D",100,50,14,70,16,14,0,30
"site D",100,50,14,68,16,14,0,30
"site D",100,50,13,71,15,13,0,28
"site D",100,50,13,71,15,13,0,28
"site D",100,50,16,71,17,16,0,33
"site D",100,50,14,70,16,14,0,30
"site D",100,50,16,69,16,16,0,32
"site D",100,50,12,71,14,12,0,26
"site D",100,50,14,70,16,14,0,30
"site D",100,50,14,70,16,14,0,30
"site D",100,50,16,70,17,16,0,33
"site D",100,50,15,71,16,15,0,31
"site D",100,75,5,70,17,5,0,22
"site D",100,75,5,70,17,5,0,22
"site D",100,75,6,72,20,6,0,26
"site D",100,75,6,73,18,6,0,24
"site D",100,75,5,69,17,5,0,22
"site D",100,75,6,72,19,6,0,25
"site D",100,75,5,71,17,5,0,22
"site D",100,75,7,70,19,7,0,26
"site D",100,75,6,72,18,6,0,24
"site D",100,75,6,70,18,6,0,24
"site D",100,75,6,69,18,6,0,24
"site D",100,75,6,73,18,6,0,24
"site D",100,75,5,69,16,5,0,21
"site D",100,75,5,71,17,5,0,22
"site D",100,75,6,72,20,6,0,26
"site D",100,75,6,70,18,6,0,24
"site D",100,75,6,71,17,6,0,23
"site D",100,75,6,71,19,6,0,25
"site D",100,75,6,70,17,6,0,23
"site D",100,75,5,71,17,5,0,22
"site D",100,75,5,72,19,5,0,24
"site D",100,75,5,70,19,5,0,24
"site D",100,75,5,71,16,5,0,21
"site D",100,75,6,70,19,6,0,25
"site D",100,75,5,70,16,5,0,21
"site D",100,75,6,71,17,6,0,23
"site D",100,75,5,70,19,5,0,24
"site D",100,75,6,70,18,6,0,24
"site D",100,75,6,72,18,6,0,24
"site D",100,75,5,72,18,5,0,23
"site D",100,75,7,70,19,7,0,26
"site D",100,75,7,70,19,7,0,26
"site D",100,75,6,71,19,6,0,25
"site D",100,75,5,69,17,5,0,22
"site D",100,75,6,71,18,6,0,24
"site D",100,75,7,70,19,7,0,26
"site D",100,75,7,69,19,7,0,26
"site D",100,75,5,71,19,5,0,24
"site D",100,75,5,68,17,5,0,22
"site D",100,75,6,70,18,6,0,24
"site D",100,100,0,70,22,0,0,22
"site D",100,100,0,71,21,0,0,21
"site D",100,100,0,71,21,0,0,21
"site D",100,100,0,69,22,0,0,22
"site D",100,100,0,70,22,0,0,22
"site D",100,100,0,70,23,0,0,23
"site D",100,100,0,71,21,0,0,21
"site D",100,100,0,71,21,0,0,21
"site D",100,100,0,70,23,0,0,23
"site D",100,100,0,69,22,0,0,22
"site D",100,100,0,72,23,0,0,23
"site D",100,100,0,70,24,0,0,24
"site D",100,100,0,71,24,0,0,24
"site D",100,100,0,72,23,0,0,23
"site D",100,100,0,71,22,0,0,22
"site D",100,100,0,69,21,0,0,21
"site D",100,100,0,68,22,0,0,22
"site D",100,100,0,70,22,0,0,22
"site D",100,100,0,69,22,0,0,22
"site D",100,100,0,69,23,0,0,23
"site D",100,100,0,71,23,0,0,23
"site D",100,100,0,70,22,0,0,22
"site D",100,100,0,72,21,0,0,21
"site D",100,100,0,72,23,0,0,23
"site D",100,100,0,71,23,0,0,23
"site D",100,100,0,70,23,0,0,23
"site D",100,100,0,72,22,0,0,22
"site D",100,100,0,71,22,0,0,22
"site D",100,100,0,68,22,0,0,22
"site D",100,100,0,72,23,0,0,23
"site D",100,100,0,70,23,0,0,23
"site D",100,100,0,72,23,0,0,23
"site D",100,100,0,70,22,0,0,22
"site D",100,100,0,70,21,0,0,21
"site D",100,100,0,70,22,0,0,22
"site D",100,100,0,71,22,0,0,22
"site D",100,100,0,70,21,0,0,21
"site D",100,100,0,71,23,0,0,23
"site D",100,100,0,72,22,0,0,22
"site D",100,100,0,71,23,0,0,23
"site E",0,0,333,0,0,21,312,21
"site E",0,0,328,0,0,21,307,21
"site E",0,0,334,0,0,21,313,21
"site E",0,0,328,0,0,20,308,20
"site E",0,0,338,0,0,23,315,23
"site E",0,0,332,0,0,23,309,23
"site E",0,0,333,0,0,23,310,23
"site E",0,0,337,0,0,22,315,22
"site E",0,0,339,0,0,23,316,23
"site E",0,0,337,0,0,24,313,24
"site E",0,0,337,0,0,21,316,21
"site E",0,0,338,0,0,20,318,20
"site E",0,0,338,0,0,21,317,21
"site E",0,0,334,0,0,21,313,21
"site E",0,0,330,0,0,22,308,22
"site E",0,0,336,0,0,23,313,23
"site E",0,0,330,0,0,23,307,23
"site E",0,0,334,0,0,21,313,21
"site E",0,0,332,0,0,22,310,22
"site E",0,0,337,0,0,22,315,22
"site E",0,0,332,0,0,22,310,22
"site E",0,0,334,0,0,20,314,20
"site E",0,0,332,0,0,20,312,20
"site E",0,0,339,0,0,23,316,23
"site E",0,0,344,0,0,24,320,24
"site E",0,0,338,0,0,20,318,20
"site E",0,0,335,0,0,21,314,21
"site E",0,0,329,0,0,21,308,21
"site E",0,0,345,0,0,25,320,25
"site E",0,0,335,0,0,21,314,21
"site E",0,0,332,0,0,21,311,21
"site E",0,0,333,0,0,23,310,23
"site E",0,0,330,0,0,22,308,22
"site E",0,0,338,0,0,21,317,21
"site E",0,0,338,0,0,22,316,22
"site E",0,0,338,0,0,23,315,23
"site E",0,0,334,0,0,23,311,23
"site E",0,0,332,0,0,21,311,21
"site E",0,0,334,0,0,20,314,20
"site E",0,0,334,0,0,23,311,23
"site E",0,25,327,0,6,16,311,22
"site E",0,25,330,0,6,16,314,22
"site E",0,25,332,0,5,15,317,20
"site E",0,25,331,0,6,16,315,22
"site E",0,25,333,0,5,15,318,20
"site E",0,25,331,0,6,17,314,23
"site E",0,25,316,0,5,15,301,20
"site E",0,25,327,0,5,16,311,21
"site E",0,25,330,0,6,17,313,23
"site E",0,25,327,0,5,16,311,21
"site E",0,25,328,0,5,15,313,20
"site E",0,25,328,0,5,17,311,22
"site E",0,25,328,0,6,18,310,24
"site E",0,25,336,0,6,17,319,23
"site E",0,25,327,0,6,16,311,22
"site E",0,25,333,0,6,16,317,22
"site E",0,25,327,0,5,16,311,21
"site E",0,25,328,0,6,17,311,23
"site E",0,25,329,0,5,15,314,20
"site E",0,25,326,0,5,15,311,20
"site E",0,25,333,0,5,15,318,20
"site E",0,25,325,0,5,15,310,20
"site E",0,25,326,0,5,16,310,21
"site E",0,25,334,0,6,16,318,22
"site E",0,25,332,0,5,16,316,21
"site E",0,25,329,0,6,16,313,22
"site E",0,25,331,0,5,16,315,21
"site E",0,25,332,0,5,16,316,21
"site E",0,25,334,0,5,16,318,21
"site E",0,25,325,0,6,16,309,22
"site E",0,25,323,0,5,16,307,21
"site E",0,25,334,0,6,16,318,22
"site E",0,25,329,0,6,16,313,22
"site E",0,25,328,0,5,15,313,20
"site E",0,25,323,0,5,15,308,20
"site E",0,25,333,0,5,16,317,21
"site E",0,25,325,0,6,16,309,22
"site E",0,25,331,0,6,16,315,22
"site E",0,25,326,0,6,17,309,23
"site E",0,25,334,0,6,19,315,25
"site E",0,50,320,0,11,10,310,21
"site E",0,50,324,0,11,10,314,21
"site E",0,50,325,0,12,11,314,23
"site E",0,50,316,0,11,10,306,21
"site E",0,50,321,0,11,10,311,21
"site E",0,50,317,0,11,10,307,21
"site E",0,50,323,0,11,10,313,21
"site E",0,50,324,0,12,11,313,23
"site E",0,50,323,0,11,10,313,21
"site E",0,50,323,0,11,10,313,21
"site E",0,50,320,0,12,11,309,23
"site E",0,50,318,0,11,11,307,22
"site E",0,50,322,0,11,10,312,21
"site E",0,50,320,0,11,11,309,22
"site E",0,50,324,0,11,10,314,21
"site E",0,50,322,0,13,11,311,24
"site E",0,50,322,0,11,10,312,21
"site E",0,50,318,0,10,10,308,20
"site E",0,50,327,0,11,11,316,22
"site E",0,50,324,0,11,10,314,21
"site E",0,50,324,0,12,11,313,23
"site E",0,50,328,0,11,11,317,22
"site E",0,50,330,0,10,10,320,20
"site E",0,50,326,0,12,11,315,23
"site E",0,50,324,0,12,10,314,22
"site E",0,50,323,0,11,11,312,22
"site E",0,50,323,0,11,10,313,21
"site E",0,50,325,0,10,10,315,20
"site E",0,50,318,0,12,11,307,23
"site E",0,50,331,0,11,11,320,22
"site E",0,50,326,0,12,10,316,22
"site E",0,50,320,0,10,10,310,20
"site E",0,50,335,0,12,11,324,23
"site E",0,50,324,0,11,11,313,22
"site E",0,50,322,0,12,11,311,23
"site E",0,50,326,0,11,11,315,22
"site E",0,50,322,0,11,10,312,21
"site E",0,50,327,0,11,10,317,21
"site E",0,50,327,0,11,11,316,22
"site E",0,50,321,0,10,10,311,20
"site E",0,75,322,0,17,6,316,23
"site E",0,75,320,0,15,5,315,20
"site E",0,75,317,0,16,5,312,21
"site E",0,75,316,0,18,5,311,23
"site E",0,75,317,0,17,5,312,22
"site E",0,75,325,0,17,6,319,23
"site E",0,75,325,0,17,6,319,23
"site E",0,75,319,0,16,5,314,21
"site E",0,75,323,0,17,5,318,22
"site E",0,75,321,0,17,5,316,22
"site E",0,75,315,0,16,5,310,21
"site E",0,75,315,0,17,5,310,22
"site E",0,75,321,0,17,5,316,22
"site E",0,75,319,0,16,5,314,21
"site E",0,75,317,0,16,5,312,21
"site E",0,75,326,0,15,5,321,20
"site E",0,75,321,0,14,5,316,19
"site E",0,75,321,0,16,5,316,21
"site E",0,75,322,0,17,6,316,23
"site E",0,75,315,0,17,6,309,23
"site E",0,75,312,0,15,5,307,20
"site E",0,75,323,0,18,6,317,24
"site E",0,75,320,0,17,5,315,22
"site E",0,75,321,0,15,5,316,20
"site E",0,75,316,0,17,5,311,22
"site E",0,75,314,0,16,5,309,21
"site E",0,75,319,0,16,5,314,21
"site E",0,75,312,0,19,6,306,25
"site E",0,75,315,0,17,5,310,22
"site E",0,75,320,0,16,5,315,21
"site E",0,75,318,0,15,5,313,20
"site E",0,75,317,0,17,6,311,23
"site E",0,75,315,0,17,5,310,22
"site E",0,75,315,0,15,5,310,20
"site E",0,75,317,0,17,5,312,22
"site E",0,75,315,0,15,5,310,20
"site E",0,75,316,0,17,5,311,22
"site E",0,75,321,0,16,5,316,21
"site E",0,75,317,0,16,5,312,21
"site E",0,75,315,0,18,5,310,23
"site E",0,100,311,0,22,0,311,22
"site E",0,100,311,0,23,0,311,23
"site E",0,100,315,0,20,0,315,20
"site E",0,100,317,0,23,0,317,23
"site E",0,100,313,0,21,0,313,21
"site E",0,100,313,0,21,0,313,21
"site E",0,100,313,0,22,0,313,22
"site E",0,100,314,0,20,0,314,20
"site E",0,100,309,0,20,0,309,20
"site E",0,100,317,0,21,0,317,21
"site E",0,100,315,0,22,0,315,22
"site E",0,100,312,0,22,0,312,22
"site E",0,100,320,0,21,0,320,21
"site E",0,100,312,0,23,0,312,23
"site E",0,100,316,0,20,0,316,20
"site E",0,100,311,0,21,0,311,21
"site E",0,100,310,0,21,0,310,21
"site E",0,100,316,0,22,0,316,22
"site E",0,100,314,0,24,0,314,24
"site E",0,100,310,0,21,0,310,21
"site E",0,100,311,0,21,0,311,21
"site E",0,100,314,0,20,0,314,20
"site E",0,100,309,0,20,0,309,20
"site E",0,100,316,0,22,0,316,22
"site E",0,100,315,0,21,0,315,21
"site E",0,100,312,0,21,0,312,21
"site E",0,100,317,0,23,0,317,23
"site E",0,100,316,0,22,0,316,22
"site E",0,100,312,0,22,0,312,22
"site E",0,100,313,0,22,0,313,22
"site E",0,100,312,0,23,0,312,23
"site E",0,100,311,0,21,0,311,21
"site E",0,100,312,0,21,0,312,21
"site E",0,100,314,0,23,0,314,23
"site E",0,100,312,0,22,0,312,22
"site E",0,100,313,0,22,0,313,22
"site E",0,100,309,0,21,0,309,21
"site E",0,100,319,0,23,0,319,23
"site E",0,100,311,0,23,0,311,23
"site E",0,100,308,0,20,0,308,20
"site E",25,0,209,67,0,10,199,10
"site E",25,0,209,66,0,10,199,10
"site E",25,0,202,64,0,11,191,11
"site E",25,0,210,66,0,11,199,11
"site E",25,0,211,67,0,10,201,10
"site E",25,0,207,67,0,9,198,9
"site E",25,0,204,66,0,9,195,9
"site E",25,0,204,66,0,9,195,9
"site E",25,0,210,66,0,10,200,10
"site E",25,0,201,65,0,10,191,10
"site E",25,0,207,65,0,12,195,12
"site E",25,0,210,67,0,10,200,10
"site E",25,0,210,67,0,12,198,12
"site E",25,0,206,65,0,10,196,10
"site E",25,0,201,64,0,10,191,10
"site E",25,0,202,65,0,10,192,10
"site E",25,0,208,68,0,7,201,7
"site E",25,0,207,66,0,10,197,10
"site E",25,0,204,66,0,9,195,9
"site E",25,0,209,66,0,12,197,12
"site E",25,0,207,64,0,13,194,13
"site E",25,0,202,65,0,10,192,10
"site E",25,0,207,66,0,10,197,10
"site E",25,0,208,66,0,10,198,10
"site E",25,0,212,67,0,11,201,11
"site E",25,0,204,66,0,7,197,7
"site E",25,0,208,67,0,10,198,10
"site E",25,0,207,67,0,8,199,8
"site E",25,0,209,67,0,11,198,11
"site E",25,0,209,67,0,10,199,10
"site E",25,0,196,62,0,9,187,9
"site E",25,0,208,66,0,9,199,9
"site E",25,0,211,65,0,14,197,14
"site E",25,0,209,67,0,11,198,11
"site E",25,0,207,66,0,9,198,9
"site E",25,0,209,66,0,11,198,11
"site E",25,0,210,68,0,10,200,10
"site E",25,0,206,66,0,9,197,9
"site E",25,0,208,67,0,10,198,10
"site E",25,0,212,67,0,12,200,12
"site E",25,25,207,67,2,6,201,8
"site E",25,25,201,65,3,7,194,10
"site E",25,25,212,68,3,8,204,11
"site E",25,25,205,67,2,7,198,9
"site E",25,25,208,68,3,7,201,10
"site E",25,25,205,67,2,7,198,9
"site E",25,25,204,66,3,7,197,10
"site E",25,25,204,66,2,6,198,8
"site E",25,25,205,66,3,8,197,11
"site E",25,25,204,66,3,7,197,10
"site E",25,25,201,64,3,8,193,11
"site E",25,25,197,64,2,6,191,8
"site E",25,25,195,63,2,7,188,9
"site E",25,25,199,65,2,6,193,8
"site E",25,25,210,67,3,9,201,12
"site E",25,25,202,64,3,8,194,11
"site E",25,25,208,68,2,7,201,9
"site E",25,25,202,65,3,8,194,11
"site E",25,25,206,66,3,7,199,10
"site E",25,25,203,66,2,7,196,9
"site E",25,25,209,66,3,9,200,12
"site E",25,25,204,65,3,8,196,11
"site E",25,25,198,64,3,7,191,10
"site E",25,25,204,66,3,7,197,10
"site E",25,25,203,66,2,6,197,8
"site E",25,25,206,66,3,7,199,10
"site E",25,25,202,66,2,7,195,9
